"column_label","short_name","description","value_map"
"DayOfWeek","Day of week","Day of the week","{ ""1"": ""Sunday"",""2"": ""Monday"",""3"": ""Tuesday"",""4"": ""Wednesday"",""5"": ""Thursday"",""6"": ""Friday"",""7"": ""Saturday"" }"
"DepTime","Departure time","Time of flight departure (minutes after 00:00)","NaN"
"CRSDepTime","Scheduled departure","Scheduled departure time (minutes after 00:00)","NaN"
"ArrTime","Arrival time","Time of flight arrival (minutes after 00:00)","NaN"
"CRSArrTime","Scheduled arrival","Scheduled arrival time (minutes after 00:00)","NaN"
"UniqueCarrier","Carrier","Carrier code (value map currently unavailable)","NaN"
"ActualElapsedTime","Actual flight time","Actual time from departure to arrival (minutes)","NaN"
"CRSElapsedTime","Scheduled flight time","Scheduled time from departure to arrival (minutes)","NaN"
"AirTime","Air time","Time from departure to arrival spent in the air (minutes)","NaN"
"ArrDelay","Arrival delay","Difference between actual and scheduled arrival times (minutes)","NaN"
"DepDelay","Departure delay","Difference between actual and scheduled departure times (minutes)","NaN"
"Distance","Distance","Distance traveled (miles)","NaN"
