"column_label","short_name","description","value_map"
"accptoth","Accept others' wrongdoing","Respondent accepts others even when they do wrong.","{""1"": ""MANY TIMES A DAY"", ""2"": ""EVERY DAY"", ""3"": ""MOST DAYS"", ""4"": ""SOME DAYS"", ""5"": ""ONCE IN A WHILE"", ""6"": ""NEVER OR ALMOST NEVER"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", ""9"": ""NO ANSWER"" }"
"age","Age of respondent","Respondent's age.","NaN"
"astrosci","Is astrology scientific?","Respondent's belief about whether astrology is scientific.","{""1"": ""VERY SCIENTIFIC"", ""2"": ""SORT OF SCIENTIFIC"", ""3"": ""NOT AT ALL SCIENTIFIC"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", ""9"": ""NO ANSWER"" }"
"attend","Religious attendance","How often respondent attends religious services.","{""0"": ""NEVER"", ""1"": ""LT ONCE A YEAR"", ""2"": ""ONCE A YEAR"", ""3"": ""SEVRL TIMES A YR"", ""4"": ""ONCE A MONTH"", ""5"": ""2-3X A MONTH"", ""6"": ""NRLY EVERY WEEK"", ""7"": ""EVERY WEEK"", ""8"": ""MORE THN ONCE WK"", ""9"": ""DONT KNOW, NO ANSWER"" }"
"coldeg1","Degree","Highest degree respondent has earned.","{""1"": ""ASSOCIATE'S"", ""2"": ""BACHELOR'S"", ""3"": ""MASTER'S"", ""4"": ""MBA"", ""5"": ""LAW"", ""6"": ""PHD"", ""7"": ""MD"", ""8"": ""OTHER"", ""0"": ""NOT APPLICABLE"", ""98"": ""DONT KNOW"", ""99"": ""NO ANSWER"" }"
"convictd","Crime conviction","Not counting minor traffic offenses, have you ever been convicted of a crime?","{""1"": ""YES"", ""2"": ""NO"", “8"": ""DON'T KNOW"", ""9"": ""NO ANSWER"" }"
"cooking1","Meal preparation","Who in household prepares meals?","{""1"": ""ALWAYS ME"", ""2"": ""USUALLY ME"", ""3"": ""ABOUT EQUAL OR BOTH TOGETHER"", ""4"": ""USUALLY MY SPOUSE OR PARTNER"", ""5"": ""ALWAYS MY SPOUSE"", ""6"": ""IS DONE BY A THIRD PERSON"", ""0"": ""NOT APPLICABLE"", ""8"": ""CANNOT CHOOSE"", ""9"": ""NO ANSWER"" }"
"cshutyp08","Household or institution","During April-June 2008, was respondent in household or institution?","{“1”: “LIVING IN HOUSEHOLD”, “2”: “LIVING IN INSTITUTION”, “3”: “HOMELESS (VOLUNTEERED)”, “4”: “OTHER”, “8”: “DON'T KNOW”, “9”: “NO ANSWER”}"
"divorce","Divorce/separation","Have you ever been divorced or separated?","{""1"": ""YES"", ""2"": ""NO"", ""0"": ""NOT APPLICABLE"", ""8"": ""DON'T KNOW"", ""9"": ""NO ANSWER"" }"
"dwelown","Own/rent home","Does respondent own or rent home?","{""1"": ""OWN OR IS BUYING"", ""2"": ""PAYS RENT"", ""3"": ""OTHER"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", “9”: “NO ANSWER” }"
"eldcost","Cost of elderly support","Who do you think should primarily cover the costs of help to elderly people?","{“1”: “ELDERLY THEMSELVES OR THEIR FAMILY”, “2”: “GOVERNMENT/PUBLIC FUNDS”, “8”: “DON'T KNOW”, “9”: “NO ANSWER”}"
"eldersup","Elderly support","Adult children are an important source of help for elderly parents.","{“1”: “STRONGLY AGREE”, “2”: “AGREE”, “3”: “NEITHER AGREE OR DISAGREE”, “4”: “DISAGREE”, “5”: “STRONGLY DISAGREE”}"
"emailmin","Email mins/week","About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?","{“-1”: “NOT APPLICABLE”, “98”: “DON'T KNOW”, “99”: “NO ANSWER”}"
"engdo","What engineers do?","Would you say your knowledge of what engineers do day-to-day on their jobs is Excellent, Good, Fair, Poor, Very Poor?","{“1”: “EXCELLENT”, “2”: “GOOD”, “3”: “FAIR”, “4: “POOR”, “5”: “VERY POOR”, “8”: “DON'T KNOW”, “9”: “NO ANSWER”, “IAP”: “NOT APPLICABLE”}"
"englone","Engineers work alone?","An engineer usually works alone. Do you strongly agree, agree, disagree, or strongly disagree?","{“1”: “STRONGLY AGREE”, “2”: “AGREE”, “3”: “DISAGREE”, “4”: “STRONGLY DISAGREE”, “8”: “DON'T KNOW”, “9”: “NO ANSWER”, “IAP”: “NOT APPLICABLE”}"
"engnrsci","Engineering scientific","Is engineering very scientific, pretty scientific, not too scientific, or not scientific at all?","{""1"": ""VERY SCIENTIFIC"", ""2"": ""PRETTY SCIENTIFIC"", ""3"": ""NOT TOO SCIENTIFIC"", ""4"": ""NOT SCIENTIFIC AT ALL"", ""5"": ""HAVENT HEARD OF IT VOLUNTEERED"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", ""9"": ""NO ANSWER"" }"
"engresp","Consider engineering career?","Have you ever considered working in an engineering-related career?","{“1”: “YES”, “2”: “NOT APPLICABLE”, “8”: “DON'T KNOW”, “9”: “NO ANSWER”}"
"evnegjob","Negative job impact","Have you ever in your life been denied a promotion or received a negative job evaluation because an employer believed you were gay, lesbian, or bisexual?","{“1”: “YES”, “2”: “NO”, “8”: “DON'T KNOW”, “9”: “NO ANSWER”, “IAP”: “NOT APPLICABLE”}"
"evstray","Extramarital sex","Have you ever had sex with someone other than your husband or wife while you were married?","{""1"": ""YES"", ""2"": ""NO"", ""3"": ""NEVER MARRIED"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", “9”: “NO ANSWER” }"
"family16","Live with parents at 16","Were you living with both your own mother and father around the time you were 16?","{""0"": ""OTHER"", ""1"": ""BOTH OWN MOTHER AND FATHER"", ""2"": ""FATHER AND STEPMOTHER"", ""3"": ""MOTHER AND STEPFATHER"", ""4"": ""FATHER ONLY"", ""5"": ""MOTHER ONLY"", ""6"": ""SOME OTHER MALE RELATIVE (NO FEMALE HEAD)"", ""7"": ""SOME OTHER FEMALE RELATIVE (NO MALE HEAD)"", ""8"": ""OTHER ARRANGEMENT WITH RELATIVES (E.G., UNCLE AND AUNT, GRAND-PARENTS)"", ""-1"": ""NOT APPLICABLE"", ""9"": ""NO ANSWER"" }"
"fechld","Working mothers","A working mother can establish just as warm and secure a relationship with her children as a mother who does not work.","{""1"": ""STRONGLY AGREE"", ""2"": ""AGREE"", ""3"": ""DISAGREE"", ""4"": ""STRONGLY DISAGREE"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", “9”: “NO ANSWER”}"
"finalter","Financial changes","During the last few years, has your financial situation been getting better, worse, or has it stayed the same?","{""1"": ""BETTER"", ""2"": ""WORSE"", ""3"": ""STAYED SAME"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", “9”: “NO ANSWER” }"
"gender2","Gender of second person ","Gender of second person living in household.","NaN"
