"loan_id","loan_status","num_borrowers","gender_ratio","borrower_picture","desc_language","sector","activity","loan_amount","funded_amount","basket_amount","paid_amount","currency_exchange_loss_amount","disbursal_currency","posted_date","funded_date","paid_date","planned_expiration_date","delinquent","video","country_code","journal_entries","bulk_entries","partner_id","partner_status","num_lenders","partner_rating","due_diligence_type","partner_start_date","delinquency_rate","default_rate","total_amount_raised","partner_loans_posted","lender_country_code","lender_occupation","lender_loan_count","lender_inviter","lender_invitee_count","lender_member_since","lender_teams_count"
231017,"paid",1,1,0,"en","Food","Food Production/Sales",250,250,0,250,0,"PHP",3910.611227,3911.084965,4213.48912,10000,FALSE,TRUE,"PH",1,0,126,"active",8,3,"Full",3247.415266,0,0,3061775,9303,"US","student",327,FALSE,0,2626.168264,0
428077,"in_repayment",1,0,0,"en","Agriculture","Farming",1375,1375,0,763.58,0,"ALL",4525.958449,4526.506204,,4555.958449,FALSE,TRUE,"AL",1,0,239,"active",50,2,"Full",4520.604201,0.085003835,0,498850,396,"US","other",178,FALSE,1,2806.212025,0
396030,"expired",1,0,0,"en","Food","Grocery Store",1275,700,0,0,0,"JOD",4446.72919,,,4476.72919,FALSE,TRUE,"JO",0,0,185,"active",18,3.5,"Full",4106.916725,0.156629026,0.703653519,1858650,1706,"FI","other",774,FALSE,11,4241.485718,19
120581,"paid",6,1,0,"en","Retail","Hardware",850,850,0,850,0,"UGX",3475.527824,3481.553553,3787.414954,10000,FALSE,TRUE,"UG",0,0,65,"active",32,3.5,"Full",2912.886875,0,0.038037428,4133375,4798,"US","other",6938,FALSE,1,3337.017616,3
551337,"in_repayment",16,1,0,"es","Clothing","Clothing",5175,5175,0,1617.19,0,"PYG",4860.125023,4860.231076,,4890.125023,FALSE,TRUE,"PY",0,0,58,"active",32,4.5,"Full",2699.787315,0,0,13784525,8728,,"other",78554,FALSE,3,2712.593021,21
514358,"paid",1,1,0,"en","Agriculture","Farming",1100,1100,0,1100,0,"USD",4780.346238,4794.176435,4822.69103,4810.346238,FALSE,TRUE,"KH",0,0,204,"active",32,4,"Full",4284.013947,0.011635515,0,1920225,3164,"US","other",5,FALSE,0,4454.67287,0
396281,"paid",19,1,0,"es","Retail","Charcoal Sales",5650,5650,0,5650,0,"PYG",4441.722245,4450.991238,4549.68706,4471.722245,FALSE,TRUE,"PY",0,0,58,"active",50,4.5,"Full",2699.787315,0,0,13784525,8728,"CA","nurs",37,FALSE,0,2660.807755,0
392397,"paid",1,1,0,"en","Agriculture","Agriculture",425,425,0,425,0,"VND",4429.326412,4429.428113,4794.760729,4459.326412,FALSE,TRUE,"VN",0,0,85,"active",15,1.5,"Full",2860.218796,0,0,1564350,2054,"AU","other",245,FALSE,0,3283.290579,0
18401,"paid",1,0,0,"en","Agriculture","Cattle",1200,1200,0,1200,0,"USD",2816.597257,2816.672211,3013.421979,10000,FALSE,TRUE,"AZ",0,0,31,"closed",31,0,"Full",2534.277604,0,0,1149925,1447,"IT","other",45,FALSE,2,2806.649931,2
16442,"paid",1,1,0,"fr","Food","Food Market",700,700,0,700,0,"USD",2792.180602,2792.507245,3174.09647,10000,FALSE,TRUE,"TG",1,0,22,"closed",22,0,"Full",2502.052882,0,20.72144686,2388625,3586,"NL","other",2,FALSE,0,2790.630914,1
509889,"in_repayment",1,1,0,"en","Retail","General Store",750,750,0,562.5,0,"PHP",4737.993067,4741.557072,,4767.993067,FALSE,TRUE,"PH",1,0,144,"active",26,3,"Full",3463.196238,1.158572983,0.08329179,2079725,4413,"GB","other",52,FALSE,0,3310.490984,0
414685,"in_repayment",3,1,0,"fr","Services","Sewing",750,750,0,688.99,0,"XOF",4487.256968,4497.534294,,4517.256956,TRUE,TRUE,"BJ",1,0,104,"active",30,3,"Full",2951.100752,0.744604514,0.274096193,2542875,4540,,"other",2943,FALSE,0,3917.639063,27
137946,"paid",1,1,0,"en","Agriculture","Pigs",125,125,0,125,0,"PHP",3549.861262,3549.864525,3698.424745,10000,FALSE,TRUE,"PH",1,0,123,"active",3,4,"Full",3248.083449,1.689603515,0.11687322,6078025,14387,"US","other",43,FALSE,0,2527.797303,0
35808,"paid",1,1,0,"en","Services","Beauty Salon",875,875,0,875,0,"NGN",2971.038391,2972.631157,3272.295394,10000,FALSE,TRUE,"NG",2,0,20,"closed",26,0,"Full",2498.318692,0,0,4976700,8593,"CA","other",5,FALSE,0,2930.776435,0
46511,"paid",1,1,0,"en","Retail","General Store",1100,1100,0,1100,0,"PEN",3075.139063,3079.24338,3303.035741,10000,FALSE,TRUE,"PE",0,0,72,"active",28,3.5,"Full",2792.684063,0,0.005931304,4219675,8595,"US","teach",5,FALSE,2,2817.776366,2
270303,"paid",15,1,0,"es","Food","Food",2000,2000,0,2000,0,"PYG",4051.409803,4053.261528,4183.472569,10000,FALSE,TRUE,"PY",0,0,58,"active",43,4.5,"Full",2699.787315,0,0,13784525,8728,"MY","other",434,FALSE,16,2563.608681,1
333564,"paid",1,1,0,"es","Food","Grocery Store",500,500,0,500,0,"PEN",4271.500046,4288.532072,4641.403194,10000,FALSE,TRUE,"PE",0,0,143,"active",18,3,"Full",3510.805625,0,0.874803279,2676900,5294,"DE","other",85,FALSE,4,2664.803449,0
