"column_label","short_name","description","value_map"
"activity","Activity","Activity for which loan will be used","NaN"
"basket_amount","Basket amount","The amount of the loan which lenders have saved in shopping baskets, but has not been confirmed as purchased ","NaN"
"borrower_picture","Borrower picture","Whether borrower's profile has a photo","NaN"
"bulk_entries","Bulk entries","Whether bulk journal entries (comments) about the loan are included","NaN"
"country_code","Country code","Country code of borrower","{ ""AF"": ""Afghanistan"",""AX"": ""?land Islands"",""AL"": ""Albania"",""DZ"": ""Algeria"",""AS"": ""American Samoa"",""AD"": ""Andorra"",""AO"": ""Angola"",""AI"": ""Anguilla"",""AQ"": ""Antarctica"",""AG"": ""Antigua and Barbuda"",""AR"": ""Argentina"",""AM"": ""Armenia"",""AW"": ""Aruba"",""AU"": ""Australia"",""AT"": ""Austria"",""AZ"": ""Azerbaijan"",""BS"": ""Bahamas (the)"",""BH"": ""Bahrain"",""BD"": ""Bangladesh"",""BB"": ""Barbados"",""BY"": ""Belarus"",""BE"": ""Belgium"",""BZ"": ""Belize"",""BJ"": ""Benin"",""BM"": ""Bermuda"",""BT"": ""Bhutan"",""BO"": ""Bolivia, Plurinational State of"",""BQ"": ""Bonaire, Sint Eustatius and Saba"",""BA"": ""Bosnia and Herzegovina"",""BW"": ""Botswana"",""BV"": ""Bouvet Island"",""BR"": ""Brazil"",""IO"": ""British Indian Ocean Territory (the)"",""BN"": ""Brunei Darussalam"",""BG"": ""Bulgaria"",""BF"": ""Burkina Faso"",""BI"": ""Burundi"",""CV"": ""Cabo Verde"",""KH"": ""Cambodia"",""CM"": ""Cameroon"",""CA"": ""Canada"",""KY"": ""Cayman Islands (the)"",""CF"": ""Central African Republic (the)"",""TD"": ""Chad"",""CL"": ""Chile"",""CN"": ""China"",""CX"": ""Christmas Island"",""CC"": ""Cocos (Keeling) Islands (the)"",""CO"": ""Colombia"",""KM"": ""Comoros"",""CG"": ""Congo"",""CD"": ""Congo (the Democratic Republic of the)"",""CK"": ""Cook Islands (the)"",""CR"": ""Costa Rica"",""CI"": ""C™te d'Ivoire"",""HR"": ""Croatia"",""CU"": ""Cuba"",""CW"": ""Cura?ao"",""CY"": ""Cyprus"",""CZ"": ""Czech Republic (the)"",""DK"": ""Denmark"",""DJ"": ""Djibouti"",""DM"": ""Dominica"",""DO"": ""Dominican Republic (the)"",""EC"": ""Ecuador"",""EG"": ""Egypt"",""SV"": ""El Salvador"",""GQ"": ""Equatorial Guinea"",""ER"": ""Eritrea"",""EE"": ""Estonia"",""ET"": ""Ethiopia"",""FK"": ""Falkland Islands (the) [Malvinas]"",""FO"": ""Faroe Islands (the)"",""FJ"": ""Fiji"",""FI"": ""Finland"",""FR"": ""France"",""GF"": ""French Guiana"",""PF"": ""French Polynesia"",""TF"": ""French Southern Territories (the)"",""GA"": ""Gabon"",""GM"": ""Gambia (The)"",""GE"": ""Georgia"",""DE"": ""Germany"",""GH"": ""Ghana"",""GI"": ""Gibraltar"",""GR"": ""Greece"",""GL"": ""Greenland"",""GD"": ""Grenada"",""GP"": ""Guadeloupe"",""GU"": ""Guam"",""GT"": ""Guatemala"",""GG"": ""Guernsey"",""GN"": ""Guinea"",""GW"": ""Guinea-Bissau"",""GY"": ""Guyana"",""HT"": ""Haiti"",""HM"": ""Heard Island and McDonald Islands"",""VA"": ""Holy See (the) [Vatican City State]"",""HN"": ""Honduras"",""HK"": ""Hong Kong"",""HU"": ""Hungary"",""IS"": ""Iceland"",""IN"": ""India"",""ID"": ""Indonesia"",""IR"": ""Iran (the Islamic Republic of)"",""IQ"": ""Iraq"",""IE"": ""Ireland"",""IM"": ""Isle of Man"",""IL"": ""Israel"",""IT"": ""Italy"",""JM"": ""Jamaica"",""JP"": ""Japan"",""JE"": ""Jersey"",""JO"": ""Jordan"",""KZ"": ""Kazakhstan"",""KE"": ""Kenya"",""KI"": ""Kiribati"",""KP"": ""Korea (the Democratic People's Republic of)"",""KR"": ""Korea (the Republic of)"",""KW"": ""Kuwait"",""KG"": ""Kyrgyzstan"",""LA"": ""Lao People's Democratic Republic (the)"",""LV"": ""Latvia"",""LB"": ""Lebanon"",""LS"": ""Lesotho"",""LR"": ""Liberia"",""LY"": ""Libya"",""LI"": ""Liechtenstein"",""LT"": ""Lithuania"",""LU"": ""Luxembourg"",""MO"": ""Macao"",""MK"": ""Macedonia (the former Yugoslav Republic of)"",""MG"": ""Madagascar"",""MW"": ""Malawi"",""MY"": ""Malaysia"",""MV"": ""Maldives"",""ML"": ""Mali"",""MT"": ""Malta"",""MH"": ""Marshall Islands (the)"",""MQ"": ""Martinique"",""MR"": ""Mauritania"",""MU"": ""Mauritius"",""YT"": ""Mayotte"",""MX"": ""Mexico"",""FM"": ""Micronesia (the Federated States of)"",""MD"": ""Moldova (the Republic of)"",""MC"": ""Monaco"",""MN"": ""Mongolia"",""ME"": ""Montenegro"",""MS"": ""Montserrat"",""MA"": ""Morocco"",""MZ"": ""Mozambique"",""MM"": ""Myanmar"",""NA"": ""Namibia"",""NR"": ""Nauru"",""NP"": ""Nepal"",""NL"": ""Netherlands (the)"",""NC"": ""New Caledonia"",""NZ"": ""New Zealand"",""NI"": ""Nicaragua"",""NE"": ""Niger (the)"",""NG"": ""Nigeria"",""NU"": ""Niue"",""NF"": ""Norfolk Island"",""MP"": ""Northern Mariana Islands (the)"",""NO"": ""Norway"",""OM"": ""Oman"",""PK"": ""Pakistan"",""PW"": ""Palau"",""PS"": ""Palestine, State of"",""PA"": ""Panama"",""PG"": ""Papua New Guinea"",""PY"": ""Paraguay"",""PE"": ""Peru"",""PH"": ""Philippines (the)"",""PN"": ""Pitcairn"",""PL"": ""Poland"",""PT"": ""Portugal"",""PR"": ""Puerto Rico"",""QA"": ""Qatar"",""RE"": ""RÆunion"",""RO"": ""Romania"",""RU"": ""Russian Federation (the)"",""RW"": ""Rwanda"",""BL"": ""Saint BarthÆlemy"",""SH"": ""Saint Helena, Ascension and Tristan da Cunha"",""KN"": ""Saint Kitts and Nevis"",""LC"": ""Saint Lucia"",""MF"": ""Saint Martin (French part)"",""PM"": ""Saint Pierre and Miquelon"",""VC"": ""Saint Vincent and the Grenadines"",""WS"": ""Samoa"",""SM"": ""San Marino"",""ST"": ""Sao Tome and Principe"",""SA"": ""Saudi Arabia"",""SN"": ""Senegal"",""RS"": ""Serbia"",""SC"": ""Seychelles"",""SL"": ""Sierra Leone"",""SG"": ""Singapore"",""SX"": ""Sint Maarten (Dutch part)"",""SK"": ""Slovakia"",""SI"": ""Slovenia"",""SB"": ""Solomon Islands (the)"",""SO"": ""Somalia"",""ZA"": ""South Africa"",""GS"": ""South Georgia and the South Sandwich Islands"",""SS"": ""South Sudan"",""ES"": ""Spain"",""LK"": ""Sri Lanka"",""SD"": ""Sudan (the)"",""SR"": ""Suriname"",""SJ"": ""Svalbard and Jan Mayen"",""SZ"": ""Swaziland"",""SE"": ""Sweden"",""CH"": ""Switzerland"",""SY"": ""Syrian Arab Republic (the)"",""TW"": ""Taiwan (Province of China)"",""TJ"": ""Tajikistan"",""TZ"": ""Tanzania, United Republic of"",""TH"": ""Thailand"",""TL"": ""Timor-Leste"",""TG"": ""Togo"",""TK"": ""Tokelau"",""TO"": ""Tonga"",""TT"": ""Trinidad and Tobago"",""TN"": ""Tunisia"",""TR"": ""Turkey"",""TM"": ""Turkmenistan"",""TC"": ""Turks and Caicos Islands (the)"",""TV"": ""Tuvalu"",""UG"": ""Uganda"",""UA"": ""Ukraine"",""AE"": ""United Arab Emirates (the)"",""GB"": ""United Kingdom (the)"",""US"": ""United States (the)"",""UM"": ""United States Minor Outlying Islands (the)"",""UY"": ""Uruguay"",""UZ"": ""Uzbekistan"",""VU"": ""Vanuatu"",""VE"": ""Venezuela, Bolivarian Republic of˝"",""VN"": ""Viet Nam"",""VG"": ""Virgin Islands (British)"",""VI"": ""Virgin Islands (U.S.)"",""WF"": ""Wallis and Futuna"",""EH"": ""Western Sahara*"",""YE"": ""Yemen"",""ZM"": ""Zambia"",""ZW"": ""Zimbabwe"" }"
"currency_exchange_loss_amount","Currency exchange loss","The amount in USD lost by the lender due to fluctuations in the value of the local currency against the US dollar ","NaN"
"default_rate","Default rate","Default rate for this loan's partner ID","NaN"
"delinquency_rate","Delinquency rate","Delinquency rate for this loan's partner ID","NaN"
"delinquent","Delinquent","Whether loan is behind on payments","NaN"
"desc_language","Description language","Language in which description is written","{ ""ar"": ""Arabic"",""en"": ""English"",""es"": ""Spanish"",""fr"": ""French"",""id"": ""Indonesian"",""pt"": ""Portuguese"",""ru"": ""Russian"",""vi"": ""Vietnamese"" }"
