N_DEATH_ILL,TTL_MDCR_SPND,MDCR_SPND_INP,MDCR_SPND_OUTP,MDCR_SPND_LTC
2120,39677,19979,1,6331
3510,44895,24222,2,8126
2858,59140,35651,3,9286
10327,40775,22472,4,5181
1132,39735,23741,1,3308
4601,37608,19045,2,4738
1695,51216,25445,3,9263
6700,47157,26244,4,7737
1666,41063,21148,1,7160
2445,42301,21275,2,5402
1291,43950,27509,3,3481
6156,48660,27260,4,7071
1644,31688,16366,1,4936
4888,45586,25107,2,5799
4218,37940,18371,3,5645
16925,42658,23177,4,4952
3204,41620,23128,1,5542
724,45070,23622,2,6178
3836,47747,21400,3,9610
2746,48038,27253,4,6131
11692,57485,36509,1,5972
2749,37003,20053,2,5169
2940,48233,22704,3,8667
2622,50000,24269,4,8388
721,35034,16295,1,2117
2844,32442,16842,2,4316
2543,33271,18339,3,4259
12682,41520,22093,4,5021
1340,31635,16756,1,5362
812,37535,19864,2,4853
4430,57020,32731,3,8553
2867,35218,16468,4,6277
20670,57057,27929,1,12598
594,45050,20401,2,7868
1999,44662,21838,3,6628
3051,55814,31453,4,8464
3224,78301,53716,1,11672
921,41738,21809,2,5698
7101,37201,20440,3,5589
3309,38631,20637,4,4657
15894,56739,34223,1,7914
3540,39957,21417,2,7069
1855,36890,20859,3,4942
982,34865,19144,4,4738
1582,32888,18458,1,3449
4216,44634,24643,2,4903
5787,38053,22015,3,5127
9810,40392,21583,4,5584
2894,39580,22079,1,5714
3790,43396,22581,2,6070
8621,62565,40019,3,8817
1760,43073,24596,4,5769
7224,41508,21254,1,6237
3230,48353,21839,2,8258
11550,45988,24522,3,7976
2287,40082,19280,4,5413
5764,39469,21698,1,4797
4146,37149,21040,2,5059
14062,40916,22385,3,6585
1727,34813,17431,4,3891
1976,58387,34681,1,7958
2165,49340,25192,2,7609
1579,41050,22340,3,6685
13572,51459,24117,4,9640
3039,35054,17824,1,6565
3038,36548,20145,2,4110
6142,39919,21741,3,6084
3152,52877,31371,4,8038
5176,43714,21268,1,7342
6299,33863,18897,2,3742
10110,54248,32939,3,6901
2311,37395,18033,4,4819
600,29116,15336,1,3442
2192,36084,20497,2,6194
6887,38333,21856,3,4339
17957,65218,40669,4,8912
3561,47676,26495,1,6497
2303,51807,29190,2,7982
2548,34895,19664,3,5131
1325,48478,25292,4,9829
4717,39038,20164,1,7049
2747,34615,18476,2,3465
4735,55077,30788,3,8181
4472,38865,18567,4,7446
1849,40348,20813,1,5076
3180,33471,17509,2,5759
2841,48201,27408,3,5257
1868,41815,24960,4,4825
1077,40043,19773,1,6510
12338,58110,27874,2,7744
6430,45670,21728,3,5443
2134,40759,20641,4,7321
4658,36534,18117,1,6622
5702,48614,20477,2,10425
3137,43770,24573,3,5570
2608,46202,24651,4,6223
2803,48085,27119,1,6959
1023,33089,18368,2,5333
931,36190,16380,3,5009
5436,38404,19229,4,5246
916,38104,20663,1,4728
1290,42428,21644,2,6063
2992,33334,17663,3,4675
2709,37161,18968,4,5185
4216,40552,23176,1,4003
4421,39703,22212,2,5147
862,52444,27671,3,8179
6157,63969,40435,4,9205
1847,66091,43660,1,4620
5726,39853,20928,2,7333
8093,50008,25521,3,9679
1635,42446,22707,4,5074
1549,39182,21004,1,4578
1629,51150,27614,2,8676
2879,43449,27876,3,3983
1065,44858,24582,4,4996
16441,59103,29829,1,12524
2992,48537,23508,2,6470
2402,41976,24108,3,4892
2924,39738,21127,4,4939
734,36739,18219,1,5026
13971,40898,20405,2,8268
1830,31725,18027,3,3908
5825,44204,23111,4,5931
2417,38735,20163,1,6099
5963,48443,25186,2,7561
1466,41147,22487,3,5002
1278,41022,22210,4,6835
2607,49594,28461,1,6877
1558,38981,21295,2,5826
2552,38933,21387,3,5626
3677,41539,21866,4,7036
10358,42181,22764,1,6082
1964,42055,21518,2,6495
2761,37977,20092,3,5197
7442,40445,21132,4,5916
1853,31098,16850,1,4909
3048,49449,24432,2,8074
945,36462,17635,3,7136
1325,49774,24997,4,9446
1841,44119,21832,1,6565
3292,38777,20050,2,5651
3206,40278,22419,3,4924
4062,55552,29593,4,9388
1175,35395,19484,1,3052
2507,41531,21268,2,6684
7534,41380,22464,3,5223
3271,38079,19021,4,6883
8987,41510,22787,1,5354
1162,42467,21312,2,6758
18437,77411,47797,3,11072
8833,42082,22804,4,7083
3748,45811,22853,1,5544
1462,35597,19989,2,4650
3896,40177,22531,3,4625
4762,34833,18676,4,5610
3983,40822,20336,1,7308
14303,81143,57360,2,8642
1557,35699,19108,3,3748
2317,36328,19337,4,5522
1219,31453,16425,1,3381
1618,67188,38821,2,7741
2279,35761,18866,3,3670
5534,52939,30694,4,7864
9020,43185,24053,1,5713
1325,44904,20865,2,7364
2365,45598,22939,3,5298
1690,59367,29210,4,11143
8097,71982,39007,1,9135
12505,42189,22950,2,6882
10635,38680,21367,3,6250
845,31473,16852,4,4998
1958,35749,17571,1,4312
3824,43298,21690,2,5049
2301,48401,30083,3,5296
1711,54199,26238,4,11535
2331,41461,19429,1,6640
2490,39797,22975,2,5233
4609,53824,31346,3,7857
1110,38751,20381,4,6838
1687,53383,31278,1,8101
1613,38920,17245,2,6798
1443,44898,25404,3,5321
11817,44069,23868,4,6878
1311,34100,17191,1,5238
4341,61446,39024,2,8376
7374,54938,28309,3,10506
2691,62144,29855,4,15327
6544,65928,45037,1,7510
2629,34215,17896,2,4481
5645,38562,20612,3,5154
4027,41181,20055,4,5972
1509,45742,22670,1,5808
1212,38437,17056,2,5103
9782,45624,23233,3,6779
1402,37640,18393,4,5227
6499,39265,20994,1,5931
5850,65247,34141,2,11367
16088,48384,24324,3,7325
2055,41475,20564,4,6139
861,36768,19425,1,5822
862,39346,21417,2,4275
2767,37611,19657,3,6031
1269,56997,32308,4,6329
1137,44535,21975,1,6951
1749,59313,36768,2,8594
3805,41898,21576,3,4566
4389,38160,20686,4,5582
1141,35329,18145,1,4144
16691,58863,35543,2,7951
7765,43514,22816,3,5442
16913,48305,26718,4,8002
1893,51147,29447,1,5821
6263,39846,20138,2,6228
6170,37347,19913,3,3885
5246,47778,25177,4,8777
1186,42076,17607,1,5169
706,40051,20736,2,6345
7034,41914,23257,3,5340
942,34132,18843,4,4867
3492,40266,21286,1,7297
2000,44800,26081,2,4687
2613,42349,20354,3,7834
7547,38826,22442,4,4854
1985,63373,37396,1,10044
4359,37312,21106,2,4761
2318,38873,22812,3,6554
4724,36824,20681,4,4542
3922,39037,21382,1,5701
1569,38471,21306,2,4543
3843,53797,30541,3,7603
5966,44522,25455,4,5995
4478,41947,21983,1,6192
793,32553,17234,2,2879
1360,54033,31311,3,6316
2737,44194,26281,4,5826
5833,38773,17194,1,6440
1016,37785,17486,2,6276
7652,50586,25074,3,7676
4178,54821,30915,4,8779
6752,52921,28530,1,7352
3325,57069,35769,2,7772
2811,55490,32894,3,7531
1033,44795,22447,4,5929
1782,53020,30457,1,6984
1343,41596,20984,2,5813
843,46538,25100,3,6591
1376,45610,22870,4,5796
3758,46505,21417,1,7046
3707,41647,23017,2,3959
1249,36067,20839,3,4050
2438,41926,19841,4,8144
8260,43217,22792,1,6167
4062,53054,25116,2,13758
1799,33548,18036,3,4087
4822,34074,18271,4,5531
749,51373,26531,1,7602
3992,38099,18541,2,6611
2247,39075,20148,3,6685
6475,37278,18503,4,5418
2231,35774,18006,1,5849
3801,46216,23823,2,9105
5934,37429,20877,3,5150
4893,36426,18805,4,5100
1058,35620,18256,1,6499
951,41007,21646,2,6170
16573,43093,24485,3,5586
2937,38923,21250,4,6231
2474,50210,24269,1,8380
1436,45701,26196,2,7376
1691,45315,24714,3,4227
6065,36397,20080,4,4623
2345,42042,21572,1,5895
2553,58538,36907,2,6672
3676,37032,18942,3,5180
3904,49006,24485,4,7437
1012,40231,19961,1,6436
1305,41330,21440,2,7261
1703,44410,22045,3,9375
5262,43244,23193,4,6470
2505,36731,18394,1,6374
1517,37480,19961,2,4522
3376,42297,20681,3,6245
6514,43759,21006,4,6807
2236,37179,19829,1,4159
1457,41886,24251,2,4641
3416,46521,22955,3,8020
1247941,46412,25376,4,6862
2465,35812,19726,1,5599
2002,56851,31778,2,7102
945,47509,24219,3,9048
1834,36198,18750,4,5197
9059,51230,31553,1,6374
1219,35164,18149,2,4557
1129,35446,18436,3,4915
4746,59501,35804,4,9155
7905,39458,20583,1,5818
1478,42195,17829,2,9912
2085,43386,19552,3,9815
3669,47608,27322,4,6149
2189,43191,22907,1,5387
1984,37335,22094,2,4486
5381,40154,22244,3,5164
2367,56080,29281,4,11706
1270,34705,17819,1,3792
2248,38980,19736,2,7062
4369,45946,24963,3,8635
